0.02,0.02,2.16894e-65
0.02,0.06,2.64799e-62
0.02,0.1,8.30427e-60
0.02,0.14,9.3252e-58
0.02,0.18,5.03079e-56
0.02,0.22,2.16252e-54
0.02,0.26,1.30272e-52
0.02,0.3,5.29371e-51
0.02,0.34,7.18215e-49
0.02,0.38,2.66058e-47
0.02,0.42,5.61402e-46
0.02,0.46,8.87112e-45
0.02,0.5,9.99419e-44
0.02,0.54,4.77429e-41
0.02,0.58,7.06988e-40
0.02,0.62,9.35104e-39
0.02,0.66,1.82695e-37
0.02,0.7,1.3242e-36
0.02,0.74,2.96575e-33
0.02,0.78,1.57092e-32
0.02,0.82,7.4614e-31
0.02,0.86,5.46261e-29
0.02,0.9,1.58701e-28
0.02,0.94,1.75443e-27
0.02,0.98,2.65762e-23
0.02,1.02,2.64898e-23
0.02,1.06,9.42988e-22
0.02,1.1,1.39123e-20
0.02,1.14,1.21781e-20
0.02,1.18,1.11768e-24
0.02,1.22,9.70809e-26
0.02,1.26,2.90045e-32
0.02,1.3,9.11558e-38
0.02,1.34,1.28238e-39
0.02,1.38,7.62034e-45
0.02,1.42,1.77636e-50
0.02,1.46,1.77387e-56
0.02,1.5,1.84249e-59
0.02,1.54,2.40005e-65
0.02,1.58,0
0.02,1.62,0
0.02,1.66,0
0.02,1.7,0
0.02,1.74,0
0.02,1.78,0
0.02,1.82,0
0.02,1.86,0
0.02,1.9,0
0.02,1.94,0
0.02,1.98,0
0.06,0.02,5.93871e-59
0.06,0.06,5.59083e-56
0.06,0.1,1.60365e-53
0.06,0.14,1.77433e-51
0.06,0.18,9.67703e-50
0.06,0.22,3.03756e-48
0.06,0.26,1.87108e-46
0.06,0.3,9.11395e-45
0.06,0.34,2.84484e-43
0.06,0.38,5.62821e-42
0.06,0.42,7.31761e-41
0.06,0.46,1.16108e-38
0.06,0.5,2.67043e-37
0.06,0.54,7.07612e-36
0.06,0.58,8.25624e-35
0.06,0.62,6.55354e-34
0.06,0.66,1.27409e-29
0.06,0.7,1.02103e-28
0.06,0.74,1.93192e-27
0.06,0.78,9.40816e-27
0.06,0.82,7.26591e-26
0.06,0.86,1.51e-21
0.06,0.9,3.85661e-21
0.06,0.94,6.022e-20
0.06,0.98,1.23637e-18
0.06,1.02,2.0824e-18
0.06,1.06,2.77516e-17
0.06,1.1,1.83381e-16
0.06,1.14,2.46634e-16
0.06,1.18,4.65177e-17
0.06,1.22,1.3817e-21
0.06,1.26,7.74869e-23
0.06,1.3,1.1021e-29
0.06,1.34,1.95684e-35
0.06,1.38,1.3429e-37
0.06,1.42,8.56496e-43
0.06,1.46,1.56517e-48
0.06,1.5,1.19203e-54
0.06,1.54,2.44697e-61
0.06,1.58,7.52863e-64
0.06,1.62,0
0.06,1.66,0
0.06,1.7,0
0.06,1.74,0
0.06,1.78,0
0.06,1.82,0
0.06,1.86,0
0.06,1.9,0
0.06,1.94,0
0.06,1.98,0
0.1,0.02,2.95594e-53
0.1,0.06,2.93705e-50
0.1,0.1,8.59216e-48
0.1,0.14,9.7878e-46
0.1,0.18,5.56809e-44
0.1,0.22,1.84099e-42
0.1,0.26,2.16402e-40
0.1,0.3,1.20417e-38
0.1,0.34,4.08848e-37
0.1,0.38,8.64457e-36
0.1,0.42,1.2175e-34
0.1,0.46,2.02435e-31
0.1,0.5,4.43711e-30
0.1,0.54,1.5118e-28
0.1,0.58,1.86442e-27
0.1,0.62,1.88499e-26
0.1,0.66,8.79686e-23
0.1,0.7,6.87393e-22
0.1,0.74,1.65788e-20
0.1,0.78,7.94239e-20
0.1,0.82,7.82316e-19
0.1,0.86,2.21491e-17
0.1,0.9,6.5567e-17
0.1,0.94,6.03813e-16
0.1,0.98,5.88381e-15
0.1,1.02,1.15131e-14
0.1,1.06,8.56204e-14
0.1,1.1,3.56096e-13
